name,address,latitude,longitude,stars,price,quality,location,service,safety
ArtBar,1800 Market St,39.9527827,-75.1703617,3.0,$$,below average quality,good location,below average service,good safety
Blue Cross RiverRink Winterfest,101 S Columbus Blvd,39.9482667972,-75.1399237486,4.0,$$,average quality,good location,average service,good safety
Courtyard by Marriott Philadelphia South at The Navy Yard,1001 Intrepid Ave,39.895454514,-75.1717264504,4.0,$$,good quality,average location,average service,good safety
Courtyard by Marriott,4100 Presidential Blvd,40.0071725342,-75.2110841091,3.5,$$,average quality,good location,average service,good safety
Holiday Inn Express Philadelphia-Midtown,1305 Walnut St,39.9493353797,-75.1626115157,3.5,$$,average quality,excellent location,average service,good safety
"Home2 Suites by Hilton Philadelphia - Convention Center, PA",1200 Arch St,39.9536826978,-75.159804225,3.5,$$,average quality,excellent location,average service,good safety
Kimpton Hotel Monaco Philadelphia,433 Chestnut St,39.9491236494,-75.1488953439,4.0,$$$,average quality,excellent location,average service,good safety
Live Casino Hotel,900 Packer Ave,39.9091912,-75.1646617,2.5,$$,average quality,good location,below average service,good safety
Lokal Hotel,139 N 3rd St,39.9532548,-75.14479,4.5,$$$,good quality,good location,good service,good safety
Minute Suites,Terminal A-B Link,39.8789176098,-75.235748291,4.0,$$$,average quality,good location,average service,good safety
Morris House Hotel,225 S 8th St,39.9473689,-75.1542873,4.0,$$$,average quality,excellent location,average service,good safety
Panorama,14 N Front St,39.950201,-75.142285,4.0,$$$,average quality,good location,average service,good safety
Philadelphia Airport Marriott,"One Arrivals Road, Terminal B",39.877788,-75.244411,3.0,$$,below average quality,excellent location,average service,good safety
Philadelphia Marriott Old City,"One Dock St, 2nd and Walnut St",39.9452460633,-75.1433300972,3.0,$$$,average quality,excellent location,average service,good safety
ROOST Apartment Hotel,111 S 15th St,39.9505683,-75.1657016,4.5,$$$,good quality,excellent location,excellent service,good safety
The Bellevue Hotel,200 S Broad St,39.9491188,-75.1648441,3.5,$$$,average quality,excellent location,average service,good safety
The Conwell Inn,1331 Pollet Walk,39.981812,-75.15764,3.5,$$,average quality,excellent location,good service,good safety
The Dwight D,256 S 16th St,39.9479893,-75.1682766,4.5,$$,good quality,excellent location,good service,excellent safety
The Franklin Residences,834 Chestnut St,39.9493831,-75.1551309,5.0,$$$,good quality,excellent location,excellent service,good safety
"The Inn at Penn, a Hilton Hotel",3600 Sansom St,39.9537829039,-75.1957815881,4.0,$$$,good quality,excellent location,good service,good safety
The Rittenhouse Hotel,210 W Rittenhouse Sq,39.9499125,-75.1736448,4.0,$$$,average quality,excellent location,good service,good safety
"The Ritz-Carlton, Philadelphia",10 Avenue of the Arts,39.9514456414,-75.1641494036,3.5,$$$,below average quality,excellent location,average service,good safety
The Study at University City,20 S 33rd St,39.9544058,-75.1900591,4.0,$$,average quality,excellent location,below average service,good safety
W Philadelphia,1439 Chestnut St,39.9515202,-75.1650621,3.5,$$$,good quality,excellent location,average service,good safety
